zone	easting	northing	name
16T	431362.45	5190807.27	acsa35415.6
16T	431467.99	5190877.71	tsca93015.6
16T	431502.7	5190902.5	tsca71515.6
16T	431338.38	5190810.84	tsca21915.7
16T	431345.77	5190831.5	osvi38215.7
16T	431505.05	5190900.24	tsca71015.7
16T	431432.46	5190892.57	abba48015.8
16T	431462.89	5190926.84	tsca78715.8
16T	431514.17	5190853.25	tsca63615.8
16T	431374.32	5190886.24	tsca9015.9
16T	431524.68	5190944.46	abba64715.9
16T	431384.39	5190782.53	acsa33016
16T	431452.98	5190848.41	tsca30616
16T	431500.3	5190863.16	tsca52116
16T	431500.27	5190946	tsca62416
16T	431533.36	5190871.13	tsca50216
16T	431506.9	5190895.53	abba70516.1
16T	431520.01	5190892.8	tsca53216.1
16T	431518.31	5190957.95	tsca70216.1
16T	431439.03	5190884.33	tsca46516.2
16T	431468.66	5190940.41	osvi78116.2
16T	431527.25	5190859.53	tsca52416.2
16T	431316.92	5190859.24	tsca5516.3
16T	431449.56	5190836.44	osvi34316.4
16T	431529.21	5190858.71	belu52316.4
16T	431536.23	5190917.31	tsca68016.4
16T	431385.97	5190887.01	tsca80216.5
16T	431506.92	5190834.44	osvi58716.5
16T	431468.07	5190900.58	tsca60616.6
16T	431506.02	5190887.61	tsca68316.6
16T	431530.36	5190879.32	tsca55116.6
16T	431314.39	5190856.36	tsca5416.7
16T	431430.24	5190886.07	tsca46016.7
16T	431446.09	5190884.45	tsca49316.7
16T	431513.53	5190880.09	tsca67416.7
16T	431334	5190839.51	tsca25316.9
16T	431455.34	5190845.19	tsca33916.9
16T	431354.39	5190796.73	acsa23217
16T	431386.56	5190819.7	acsa43617
16T	431484.28	5190923.04	tsca73817
16T	431505.1	5190890.04	tsca70417
16T	431505.76	5190857.42	tsca66017
16T	431523.81	5190961.04	osvi70117
16T	431425.07	5190805.03	acsa28517.1
16T	431506.2	5190847.85	tsca51217.1
16T	431486.47	5190927.26	tsca75217.1
16T	431326.45	5190839.65	osvi26417.2
16T	431362.1	5190781.52	acsa34117.2
16T	431444.97	5190888.05	tsca46817.2
16T	431480.72	5190817.17	tsca36117.2
16T	431500.44	5190854.58	osvi51817.2
